Title,Event URL,Image URL,Categories,Mode,Date,Time,Location,Register Link
EisnerAmper Networking Drive ,https://events.herkey.com/events/eisneramper-networking-drive/1590,https://assets.jobsforher.com/uploads/v3/events/5ba69d8b59199e1a334ec3c1ce0be7bb95868472e248bee218.png,"networking, networking event",Offline,"6th Apr, 2024",9:30am to 5:00pm,Mumbai,N/A
Find a Job After a Career Break with an Impactful Resume,https://events.herkey.com/events/find-a-job-after-a-career-break-with-an-impactful-resume/1597,https://assets.jobsforher.com/uploads/v3/events/29ed15e58d4efe47c42b24e7d29e0abf5f0caffe3ea07b9353.png,"Career Development, event, networking",Online,"4th Apr, 2024",5:00pm to 6:00pm,Any,N/A
"Women’s March 2024 - Curated Hiring, Networking & LIVE Events ",https://events.herkey.com/events/women-s-march-2024-curated-hiring-networking-live-events/1554,https://assets.jobsforher.com/uploads/v3/events/b5be3a103c8feaaffdb874140375b19f165d4c37f52c6d759e.png,"Career Development, Women Returnees, event, networking",Online,"1st Mar, 2024 to 31st Mar, 2024",9:00am to 6:00pm,Any,N/A
Back to Sales Program for Women ,https://events.herkey.com/events/back-to-sales-program-for-women/1559,https://assets.jobsforher.com/uploads/v3/events/b86a3569b4ea3fd9925343f581a8ea96b39fb2f99ceac82b73.png,event,Online,"8th Feb, 2024 to 30th Mar, 2024",10:00am to 11:00pm,Any,N/A
Masterclass: Women's Rights in the Workplace,https://events.herkey.com/events/masterclass-women-s-rights-in-the-workplace/1596,https://assets.jobsforher.com/uploads/v3/events/28e2bc108d487d60b8b85f0764687f8f8c90ca19f97bf698f4.png,"Career Development, event, networking",Online,"28th Mar, 2024",6:00pm to 7:00pm,Any,N/A
Masterclass: Navigating Conflict and Promoting Accountability,https://events.herkey.com/events/masterclass-navigating-conflict-and-promoting-accountability/1579,https://assets.jobsforher.com/uploads/v3/events/d33464615b3f2f6cf866a43a8a58d3821861b74f7f82df8503.png,"Career Development, Women In Leadership, event, networking",Online,"27th Mar, 2024",7:00pm to 8:00pm,Any,N/A
Tech Firebrand by Subex ,https://events.herkey.com/events/tech-firebrand-by-subex/1581,https://assets.jobsforher.com/uploads/v3/events/0252b0c40658a274a990944c9f2f46b8faa8cc373c29e303a5.png,Women In Tech,Online,"27th Mar, 2024",10:00am to 12:30pm,Any,N/A
Xperi - LinkedIn Live ,https://events.herkey.com/events/xperi-linkedin-live/1576,https://assets.jobsforher.com/uploads/v3/events/e67fd110b2b1c9d5b5d8eb3b2143dbffbb6eddc060a292099a.png,"Career Development, Diversity Drive, Diversity & Inclusion, Women In Tech",Online,"22nd Mar, 2024",3:00pm to 4:00pm,Any,N/A
New Beginnings by Micron ,https://events.herkey.com/events/new-beginnings-by-micron/1588,https://assets.jobsforher.com/uploads/v3/events/5c2b9d853c5070a4725382ff5df9db52f47cb041952df2776d.png,"Career Development, Diversity Drive, Women Returnees",Online,"21st Mar, 2024",10:00am to 11:00am,Any,N/A
Dialogues: Navigating Returnship Programs: Success Stories,https://events.herkey.com/events/dialogues-navigating-returnship-programs-success-stories/1583,https://assets.jobsforher.com/uploads/v3/events/277f8b1c48a815cf38d54f44dccf02bc9306682f2d9fb858d8.png,"Career Development, Women Returnees, event",Online,"18th Mar, 2024",4:00pm to 5:00pm,Any,N/A
Navigating Career Transitions with Champion Yamini Kumar,https://events.herkey.com/events/navigating-career-transitions-with-champion-yamini-kumar/1586,https://assets.jobsforher.com/uploads/v3/events/1e1adee8ca2165ffd60a56e941e5cc77fa0841bfc82634f606.png,"Career Development, Women Returnees, event, networking",Online,"16th Mar, 2024",11:00am to 12:00pm,Any,N/A
Cultivating Trust and Commitment Through Dialogue,https://events.herkey.com/events/cultivating-trust-and-commitment-through-dialogue/1585,https://assets.jobsforher.com/uploads/v3/events/19098072c47d602d772dd85a005da9bbe9ca2e45b2ac703389.png,"Career Development, event",Online,"14th Mar, 2024",7:00pm to 8:00pm,Any,N/A
Hot Pick: Blockchain Brilliance: Transforming Decentralized Technologies,https://events.herkey.com/events/hot-pick-blockchain-brilliance-transforming-decentralized-technologies/1584,https://assets.jobsforher.com/uploads/v3/events/20acb2af10148681d53aaf4f8cb2e8d0878b93782b5cb14f72.png,"Career Development, event, networking",Online,"13th Mar, 2024",4:00pm to 5:00pm,Any,N/A
AMA: The Negotiator's Edge: Skills Surge: Toolbox for Success,https://events.herkey.com/events/ama-the-negotiator-s-edge-skills-surge-toolbox-for-success/1587,https://assets.jobsforher.com/uploads/v3/events/dcf7e642e6acb111c362179dbc93ebbce14871865690a7cf21.png,"Career Development, event, networking",Online,"12th Mar, 2024",4:00pm to 5:00pm,Any,N/A
Masterclass: Psychology and Menopause,https://events.herkey.com/events/masterclass-psychology-and-menopause/1578,https://assets.jobsforher.com/uploads/v3/events/50bbb9be036db7a43c2948731b7fe902a311fcc9f2d155d800.png,"Career Development, event, networking",Online,"7th Mar, 2024",4:00pm to 5:00pm,Any,N/A
Finastra - LinkedIn Live ,https://events.herkey.com/events/finastra-linkedin-live/1577,https://assets.jobsforher.com/uploads/v3/events/2f917e6e47bb3014254fd1847d629f6f32819e4dd6232eea47.png,"Diversity Drive, Diversity & Inclusion, Women In Tech",Online,"6th Mar, 2024",6:00pm to 7:00pm,Any,N/A
LinkedIn Live for Forcepoint ,https://events.herkey.com/events/linkedin-live-for-forcepoint/1494,https://assets.jobsforher.com/uploads/v3/events/bb7644e456f9c2afc5ac112224eaaaee036ecee0abc7d7da0b.png,"Special events, Women In Tech",Online,"4th Mar, 2024",5:00pm to 5:45pm,Any,N/A
AccelHERate & DivHERsity Awards 2024 ,https://events.herkey.com/events/accelherate-divhersity-awards-2024/1516,https://assets.jobsforher.com/uploads/v3/events/df69c7aabcc482e16078681a9c034fcd34477a52324cbf932d.png,"Career Development, Conferences, Awards, Women In Leadership",Offline,"1st Mar, 2024",9:00am to 6:30pm,Bangalore,N/A
MeetHer With ForcePoint ,https://events.herkey.com/events/meether-with-forcepoint/1575,https://assets.jobsforher.com/uploads/v3/events/20683c5dbc90227844f1f764613ebe459865a7499b8b421bd4.png,Meet-Ups,Online,"1st Mar, 2024",5:00pm to 6:00pm,Any,N/A
Lift-Off Program for Women Entrepreneurs ,https://events.herkey.com/events/lift-off-program-for-women-entrepreneurs/1521,https://assets.jobsforher.com/uploads/v3/events/6d60f8502e8b6fb269790d93b5051cdf9fc5ac3bbe2b1766b1.png,Women In Tech,Online,"31st Jan, 2024 to 29th Feb, 2024",12:00pm to 11:00pm,Any,N/A
Diveback – Blue Yonder’s Returnship Program ,https://events.herkey.com/events/diveback-blue-yonder-s-returnship-program/1572,https://assets.jobsforher.com/uploads/v3/events/5cc758a172f0bdfd6cfb92ec51ed5056062b002bc1d8d3c813.png,"Career Development, Women Returnees, event, networking",Online,"29th Feb, 2024",11:00am to 12:00pm,Any,N/A
